ds,M0_SeasonalNaive_recursive,M0_SeasonalMovingAverage,M0_SeasonalNaive_plusDrift,M1_ETS_univariate,M2_Prophet_univariate,M3_Prophet_regressors_regForecast
2026-01-01,2221201.45,2455504.05,2270494.3825000003,2496829.3117423556,2430255.5812172936,2469091.713624428
2026-02-01,2441235.65,2308179.1733333333,2539821.5149999997,2397025.579633631,2388994.364349571,2516897.7142633116
2026-03-01,2018081.65,2015321.1033333335,2165960.4475,2194916.2802678403,2303232.568346065,2341652.907088997
2026-04-01,1832227.42,2148323.986666667,2029399.15,2274660.794184343,2136355.2483880585,2252203.9520010287
2026-05-01,2051531.06,2327904.3833333333,2297995.7225,2422431.0958017563,2350176.566060859,2424695.2231286117
2026-06-01,2033637.35,1883618.1800000004,2329394.9450000003,1971084.5774029382,1919007.8854710732,1923087.967922489
2026-07-01,2307208.58,2188113.8866666667,2652259.1075,2084928.6296971857,2058495.6420736478,1933169.8424014032
2026-08-01,2284790.06,1853826.04,2679133.52,1783168.2990996928,1803730.7768285847,1781294.836494801
2026-09-01,2322702.27,2071160.7599999998,2766338.6625,2005811.1280046087,2089614.1798638199,2250693.269109261
2026-10-01,1813078.14,1791058.75,2306007.465,1977314.56313664,1880063.596931491,1912736.7171990322
2026-11-01,1472301.56,1622799.1233333333,2014523.8175,1940813.5994910977,1860246.1833409977,1632152.2136840355
2026-12-01,2307490.56,2029657.2966666669,2899005.75,2211860.45950943,2155198.06580728,2445970.9496044368
2027-01-01,2221201.45,2455504.05,2862009.5725000002,2535344.813846111,2480201.530202249,2491391.4487821674
2027-02-01,2441235.65,2308179.1733333333,3131336.705,2435541.081737386,2289601.6593303634,2351130.826810067
2027-03-01,2018081.65,2015321.1033333335,2757475.6374999997,2233431.782371596,2482266.2918943847,2432180.706590368
2027-04-01,1832227.42,2148323.986666667,2620914.34,2313176.296288098,2084496.7240888379,2336455.1878719484
2027-05-01,2051531.06,2327904.3833333333,2889510.9125,2460946.5979055115,2353600.360604354,2265953.4814454024
2027-06-01,2033637.35,1883618.1800000004,2920910.135,2009600.0795066939,2020251.980668045,2057221.4961724342
